URL,Violations,Status of issue,Comment
https://www.letstalk.wellington.govt.nz/,"duplicate-id, heading-order, region",Violation,
https://www.letstalk.wellington.govt.nz/,color-contrast,Needs Review,
https://www.letstalk.wellington.govt.nz/accessibility,"duplicate-id, region",Violation,
https://www.letstalk.wellington.govt.nz/accessibility,color-contrast,Needs Review,
https://www.letstalk.wellington.govt.nz/terms-use,"duplicate-id, heading-order, listitem, region",Violation,
https://www.letstalk.wellington.govt.nz/terms-use,color-contrast,Needs Review,
https://www.letstalk.wellington.govt.nz/privacy-policy,"duplicate-id, region",Violation,
https://www.letstalk.wellington.govt.nz/privacy-policy,color-contrast,Needs Review,
https://www.letstalk.wellington.govt.nz/moderation,"duplicate-id, region",Violation,
https://www.letstalk.wellington.govt.nz/moderation,color-contrast,Needs Review,
https://www.letstalk.wellington.govt.nz/search,"duplicate-id, region",Violation,
https://www.letstalk.wellington.govt.nz/search,color-contrast,Needs Review,
https://www.letstalk.wellington.govt.nz/projects,"duplicate-id, heading-order, region",Violation,
https://www.letstalk.wellington.govt.nz/projects,color-contrast,Needs Review,
https://www.letstalk.wellington.govt.nz/draftbudget,"duplicate-id, heading-order, link-name, region",Violation,
https://www.letstalk.wellington.govt.nz/draftbudget,color-contrast,Needs Review,
https://www.letstalk.wellington.govt.nz/waitohi-community-hub,"duplicate-id, link-name, region",Violation,
https://www.letstalk.wellington.govt.nz/waitohi-community-hub,color-contrast,Needs Review,
https://www.letstalk.wellington.govt.nz/transport,"duplicate-id, heading-order, region",Violation,
https://www.letstalk.wellington.govt.nz/transport,color-contrast,Needs Review,
https://www.letstalk.wellington.govt.nz/annualplan,"aria-command-name, aria-required-parent, duplicate-id, heading-order, region",Violation,
https://www.letstalk.wellington.govt.nz/annualplan,"aria-allowed-attr, aria-valid-attr-value, color-contrast, form-field-multiple-labels",Needs Review,
https://www.letstalk.wellington.govt.nz/arts-and-culture,"duplicate-id, heading-order, region",Violation,
https://www.letstalk.wellington.govt.nz/arts-and-culture,color-contrast,Needs Review,
https://www.letstalk.wellington.govt.nz/mobility-parking-spaces,"aria-command-name, aria-required-parent, duplicate-id, heading-order, region",Violation,
https://www.letstalk.wellington.govt.nz/mobility-parking-spaces,"aria-allowed-attr, color-contrast",Needs Review,
https://www.letstalk.wellington.govt.nz/resilience-and-the-environment,"duplicate-id, heading-order, region",Violation,
https://www.letstalk.wellington.govt.nz/resilience-and-the-environment,color-contrast,Needs Review,
https://www.letstalk.wellington.govt.nz/housing,"duplicate-id, heading-order, region",Violation,
https://www.letstalk.wellington.govt.nz/housing,color-contrast,Needs Review,
https://www.letstalk.wellington.govt.nz/financial-summary,"duplicate-id, heading-order, link-name, region",Violation,
https://www.letstalk.wellington.govt.nz/financial-summary,color-contrast,Needs Review,
https://www.letstalk.wellington.govt.nz/rates,"duplicate-id, heading-order, region",Violation,
https://www.letstalk.wellington.govt.nz/rates,color-contrast,Needs Review,
https://www.letstalk.wellington.govt.nz/changes-to-fees-and-user-charges,"duplicate-id, heading-order, region",Violation,
https://www.letstalk.wellington.govt.nz/changes-to-fees-and-user-charges,color-contrast,Needs Review,
https://www.letstalk.wellington.govt.nz/fees-and-user-charges,"duplicate-id, heading-order, image-alt, link-name, region",Violation,
https://www.letstalk.wellington.govt.nz/fees-and-user-charges,color-contrast,Needs Review,
https://www.letstalk.wellington.govt.nz/work-programme,"duplicate-id, heading-order, image-alt, link-name, region",Violation,
https://www.letstalk.wellington.govt.nz/work-programme,"aria-required-children, color-contrast",Needs Review,
https://www.letstalk.wellington.govt.nz/financial-summary1,"duplicate-id, heading-order, image-alt, link-name, region",Violation,
https://www.letstalk.wellington.govt.nz/financial-summary1,color-contrast,Needs Review,
https://www.letstalk.wellington.govt.nz/traffic-resolutions,"duplicate-id, empty-heading, region",Violation,
https://www.letstalk.wellington.govt.nz/traffic-resolutions,"aria-valid-attr-value, color-contrast",Needs Review,
https://www.letstalk.wellington.govt.nz/rates2021,"color-contrast, duplicate-id, heading-order, image-alt, region",Violation,
https://www.letstalk.wellington.govt.nz/rates2021,"aria-valid-attr-value, color-contrast",Needs Review,
https://www.letstalk.wellington.govt.nz/dangerous-and-insanitary-buildings-policy-review,"duplicate-id, heading-order, region",Violation,
https://www.letstalk.wellington.govt.nz/dangerous-and-insanitary-buildings-policy-review,"aria-valid-attr-value, color-contrast",Needs Review,
https://www.letstalk.wellington.govt.nz/cemeteries,"aria-command-name, aria-required-parent, duplicate-id, empty-heading, heading-order, region",Violation,
https://www.letstalk.wellington.govt.nz/cemeteries,"aria-allowed-attr, aria-valid-attr-value, color-contrast",Needs Review,
https://www.letstalk.wellington.govt.nz/traffic-resolutions-sept2020,"duplicate-id, empty-heading, region",Violation,
https://www.letstalk.wellington.govt.nz/traffic-resolutions-sept2020,"aria-valid-attr-value, color-contrast",Needs Review,
https://www.letstalk.wellington.govt.nz/central-library,"duplicate-id, heading-order, region, scrollable-region-focusable",Violation,
https://www.letstalk.wellington.govt.nz/central-library,"aria-valid-attr-value, color-contrast",Needs Review,
https://www.letstalk.wellington.govt.nz/waste-bylaw,"duplicate-id, heading-order, region",Violation,
https://www.letstalk.wellington.govt.nz/waste-bylaw,"aria-valid-attr-value, color-contrast",Needs Review,
https://www.letstalk.wellington.govt.nz/traffic-resolutions-october2020,"duplicate-id, empty-heading, region",Violation,
https://www.letstalk.wellington.govt.nz/traffic-resolutions-october2020,"aria-valid-attr-value, color-contrast",Needs Review,
https://www.letstalk.wellington.govt.nz/traffic-resolutions-november-2020,"duplicate-id, empty-heading, landmark-main-is-top-level, landmark-no-duplicate-main, landmark-unique, region",Violation,
https://www.letstalk.wellington.govt.nz/traffic-resolutions-november-2020,"aria-valid-attr-value, color-contrast",Needs Review,
https://www.letstalk.wellington.govt.nz/traffic-resolutions-december-2020,"duplicate-id, empty-heading, region",Violation,
https://www.letstalk.wellington.govt.nz/traffic-resolutions-december-2020,"aria-valid-attr-value, color-contrast",Needs Review,
https://www.letstalk.wellington.govt.nz/gambling-venues-policy,"duplicate-id, heading-order, region",Violation,
https://www.letstalk.wellington.govt.nz/gambling-venues-policy,"aria-valid-attr-value, color-contrast",Needs Review,
https://www.letstalk.wellington.govt.nz/social-strategy,"aria-command-name, aria-required-parent, duplicate-id, frame-title, heading-order, link-name, nested-interactive, region, scrollable-region-focusable",Violation,
https://www.letstalk.wellington.govt.nz/social-strategy,"aria-allowed-attr, aria-required-children, aria-valid-attr-value, color-contrast, form-field-multiple-labels, frame-tested",Needs Review,
https://www.letstalk.wellington.govt.nz/arts-culture-strategy,"aria-command-name, aria-required-parent, duplicate-id, heading-order, nested-interactive, region, scrollable-region-focusable",Violation,
https://www.letstalk.wellington.govt.nz/arts-culture-strategy,"aria-allowed-attr, aria-required-children, aria-valid-attr-value, color-contrast, form-field-multiple-labels",Needs Review,
https://www.letstalk.wellington.govt.nz/hataitai-intersection-traffic-resolution,"duplicate-id, heading-order, region",Violation,
https://www.letstalk.wellington.govt.nz/hataitai-intersection-traffic-resolution,"aria-valid-attr-value, color-contrast",Needs Review,
https://www.letstalk.wellington.govt.nz/traffic-resolutions-february-2021,"duplicate-id, empty-heading, region",Violation,
https://www.letstalk.wellington.govt.nz/traffic-resolutions-february-2021,"aria-valid-attr-value, color-contrast",Needs Review,
https://www.letstalk.wellington.govt.nz/ltp-info,"duplicate-id, empty-heading, frame-title, heading-order, link-name, region, scrollable-region-focusable",Violation,
https://www.letstalk.wellington.govt.nz/ltp-info,"aria-valid-attr-value, color-contrast, form-field-multiple-labels, frame-tested",Needs Review,
https://www.letstalk.wellington.govt.nz/social-framework,"duplicate-id, link-name, region",Violation,
https://www.letstalk.wellington.govt.nz/social-framework,"aria-required-children, aria-valid-attr-value, color-contrast, form-field-multiple-labels",Needs Review,
https://www.letstalk.wellington.govt.nz/proposed-traffic-and-parking-bylaw-2021,"duplicate-id, heading-order, region",Violation,
https://www.letstalk.wellington.govt.nz/proposed-traffic-and-parking-bylaw-2021,"aria-valid-attr-value, color-contrast, form-field-multiple-labels",Needs Review,
https://www.letstalk.wellington.govt.nz/three-waters-network,"duplicate-id, frame-title, link-name, region",Violation,
https://www.letstalk.wellington.govt.nz/three-waters-network,"color-contrast, frame-tested",Needs Review,
https://www.letstalk.wellington.govt.nz/cycleways,"duplicate-id, frame-title, link-name, region",Violation,
https://www.letstalk.wellington.govt.nz/cycleways,"color-contrast, frame-tested",Needs Review,
https://www.letstalk.wellington.govt.nz/council-office-buildings,"duplicate-id, frame-title, link-name, region",Violation,
https://www.letstalk.wellington.govt.nz/council-office-buildings,"color-contrast, frame-tested",Needs Review,
https://www.letstalk.wellington.govt.nz/ltp-central-library,"duplicate-id, frame-title, link-name, region",Violation,
https://www.letstalk.wellington.govt.nz/ltp-central-library,"color-contrast, frame-tested",Needs Review,
https://www.letstalk.wellington.govt.nz/sludge-minimisation,"duplicate-id, frame-title, link-name, region",Violation,
https://www.letstalk.wellington.govt.nz/sludge-minimisation,"color-contrast, frame-tested",Needs Review,
https://www.letstalk.wellington.govt.nz/climate-change-action,"duplicate-id, empty-heading, frame-title, link-name, region",Violation,
https://www.letstalk.wellington.govt.nz/climate-change-action,"color-contrast, frame-tested",Needs Review,
https://www.letstalk.wellington.govt.nz/fees-charges,"duplicate-id, empty-heading, image-alt, region",Violation,
https://www.letstalk.wellington.govt.nz/fees-charges,color-contrast,Needs Review,
https://www.letstalk.wellington.govt.nz/own-laterals,"duplicate-id, link-name, region",Violation,
https://www.letstalk.wellington.govt.nz/own-laterals,color-contrast,Needs Review,
https://www.letstalk.wellington.govt.nz/priorities-decisions,"duplicate-id, empty-heading, heading-order, region",Violation,
https://www.letstalk.wellington.govt.nz/priorities-decisions,color-contrast,Needs Review,
https://www.letstalk.wellington.govt.nz/plan-cost,"duplicate-id, heading-order, region",Violation,
https://www.letstalk.wellington.govt.nz/plan-cost,color-contrast,Needs Review,
https://www.letstalk.wellington.govt.nz/trading-and-events-in-public-places-policy,"duplicate-id, empty-heading, region",Violation,
https://www.letstalk.wellington.govt.nz/trading-and-events-in-public-places-policy,"aria-valid-attr-value, color-contrast, form-field-multiple-labels",Needs Review,
https://www.letstalk.wellington.govt.nz/representation-review-2021,"duplicate-id, heading-order, region",Violation,
https://www.letstalk.wellington.govt.nz/representation-review-2021,"aria-valid-attr-value, color-contrast, form-field-multiple-labels",Needs Review,
https://www.letstalk.wellington.govt.nz/waste-options,"duplicate-id, heading-order, region",Violation,
https://www.letstalk.wellington.govt.nz/waste-options,"aria-valid-attr-value, color-contrast",Needs Review,
https://www.letstalk.wellington.govt.nz/development-contributions,"duplicate-id, heading-order, region",Violation,
https://www.letstalk.wellington.govt.nz/development-contributions,"aria-valid-attr-value, color-contrast, form-field-multiple-labels",Needs Review,
https://www.letstalk.wellington.govt.nz/town-belt,"duplicate-id, heading-order, region",Violation,
https://www.letstalk.wellington.govt.nz/town-belt,"aria-required-children, aria-valid-attr-value, color-contrast, form-field-multiple-labels",Needs Review,
https://www.letstalk.wellington.govt.nz/traffic-resolutions-feb-2022,"duplicate-id, empty-heading, region",Violation,
https://www.letstalk.wellington.govt.nz/traffic-resolutions-feb-2022,"aria-valid-attr-value, color-contrast",Needs Review,
https://www.letstalk.wellington.govt.nz/sludge,"duplicate-id, heading-order, region",Violation,
https://www.letstalk.wellington.govt.nz/sludge,"aria-valid-attr-value, color-contrast, form-field-multiple-labels",Needs Review,
https://www.letstalk.wellington.govt.nz/mt-vic-trail,"duplicate-id, heading-order, region",Violation,
https://www.letstalk.wellington.govt.nz/mt-vic-trail,color-contrast,Needs Review,
https://www.letstalk.wellington.govt.nz/economic-wellbeing,"duplicate-id, heading-order, region",Violation,
https://www.letstalk.wellington.govt.nz/economic-wellbeing,"aria-valid-attr-value, color-contrast, form-field-multiple-labels",Needs Review,
https://www.letstalk.wellington.govt.nz/hawkins-hill,"duplicate-id, region",Violation,
https://www.letstalk.wellington.govt.nz/hawkins-hill,color-contrast,Needs Review,
https://www.letstalk.wellington.govt.nz/southern-landfill,"duplicate-id, frame-title, region",Violation,
https://www.letstalk.wellington.govt.nz/southern-landfill,"aria-valid-attr-value, color-contrast, frame-tested",Needs Review,
https://www.letstalk.wellington.govt.nz/traffic-resolutions-april22,"duplicate-id, empty-heading, region",Violation,
https://www.letstalk.wellington.govt.nz/traffic-resolutions-april22,"aria-valid-attr-value, color-contrast, form-field-multiple-labels",Needs Review,
https://www.letstalk.wellington.govt.nz/city-housing,"duplicate-id, frame-title, heading-order, link-name, region",Violation,
https://www.letstalk.wellington.govt.nz/city-housing,"aria-valid-attr-value, color-contrast, frame-tested",Needs Review,
https://www.letstalk.wellington.govt.nz/happyplace,"duplicate-id, empty-heading, region",Violation,
https://www.letstalk.wellington.govt.nz/happyplace,color-contrast,Needs Review,
https://www.letstalk.wellington.govt.nz/verandahs-bylaw-review,"duplicate-id, heading-order, region",Violation,
https://www.letstalk.wellington.govt.nz/verandahs-bylaw-review,color-contrast,Needs Review,
https://www.letstalk.wellington.govt.nz/our-plan,"duplicate-id, empty-heading, region",Violation,
https://www.letstalk.wellington.govt.nz/our-plan,color-contrast,Needs Review,
https://www.letstalk.wellington.govt.nz/dog-policy-review,"aria-command-name, aria-required-parent, duplicate-id, heading-order, image-redundant-alt, region",Violation,
https://www.letstalk.wellington.govt.nz/dog-policy-review,"aria-allowed-attr, aria-valid-attr-value, color-contrast",Needs Review,
https://www.letstalk.wellington.govt.nz/traffic-resolutions-august-2022-traffic-and-parking-restrictions,"duplicate-id, heading-order, region",Violation,
https://www.letstalk.wellington.govt.nz/traffic-resolutions-august-2022-traffic-and-parking-restrictions,color-contrast,Needs Review,
https://www.letstalk.wellington.govt.nz/route-21,"duplicate-id, empty-heading, region",Violation,
https://www.letstalk.wellington.govt.nz/route-21,color-contrast,Needs Review,
https://www.letstalk.wellington.govt.nz/traffic-resolutions-september-2022,"duplicate-id, region",Violation,
https://www.letstalk.wellington.govt.nz/traffic-resolutions-september-2022,color-contrast,Needs Review,
https://www.letstalk.wellington.govt.nz/central-city-bike-parking,"duplicate-id, heading-order, region",Violation,
https://www.letstalk.wellington.govt.nz/central-city-bike-parking,color-contrast,Needs Review,
https://www.letstalk.wellington.govt.nz/grenada-village-play-area-renewal,"duplicate-id, link-name, region",Violation,
https://www.letstalk.wellington.govt.nz/grenada-village-play-area-renewal,color-contrast,Needs Review,
https://www.letstalk.wellington.govt.nz/miramar-north-play-area-renewal,"duplicate-id, region",Violation,
https://www.letstalk.wellington.govt.nz/miramar-north-play-area-renewal,color-contrast,Needs Review,
https://www.letstalk.wellington.govt.nz/nairnville-play-area-renewal,"duplicate-id, region",Violation,
https://www.letstalk.wellington.govt.nz/nairnville-play-area-renewal,color-contrast,Needs Review,
https://www.letstalk.wellington.govt.nz/smf-notice-of-requirement,"duplicate-id, frame-title, region",Violation,
https://www.letstalk.wellington.govt.nz/smf-notice-of-requirement,"color-contrast, frame-tested",Needs Review,
https://www.letstalk.wellington.govt.nz/warwick-street-play-area-renewal,"duplicate-id, region",Violation,
https://www.letstalk.wellington.govt.nz/warwick-street-play-area-renewal,color-contrast,Needs Review,
https://www.letstalk.wellington.govt.nz/houghton-bay-play-area-renewal,"duplicate-id, empty-heading, heading-order, region",Violation,
https://www.letstalk.wellington.govt.nz/houghton-bay-play-area-renewal,color-contrast,Needs Review,
https://www.letstalk.wellington.govt.nz/toi-poneke,"duplicate-id, heading-order, region",Violation,
https://www.letstalk.wellington.govt.nz/toi-poneke,color-contrast,Needs Review,
https://www.letstalk.wellington.govt.nz/wellingtons-community-facilities,"duplicate-id, heading-order, region",Violation,
https://www.letstalk.wellington.govt.nz/wellingtons-community-facilities,color-contrast,Needs Review,
https://www.letstalk.wellington.govt.nz/korimako-reserve-play-area-renewal,"duplicate-id, region",Violation,
https://www.letstalk.wellington.govt.nz/korimako-reserve-play-area-renewal,color-contrast,Needs Review,
https://www.letstalk.wellington.govt.nz/the-parade-traffic-resolutions-october-2022,"duplicate-id, heading-order, region",Violation,
https://www.letstalk.wellington.govt.nz/the-parade-traffic-resolutions-october-2022,color-contrast,Needs Review,
https://www.letstalk.wellington.govt.nz/botanic-garden-play-area-renewal,"duplicate-id, link-name, region",Violation,
https://www.letstalk.wellington.govt.nz/botanic-garden-play-area-renewal,"color-contrast, frame-tested",Needs Review,
https://www.letstalk.wellington.govt.nz/cuba-street-play-area,"duplicate-id, heading-order, region",Violation,
https://www.letstalk.wellington.govt.nz/cuba-street-play-area,color-contrast,Needs Review,
https://www.letstalk.wellington.govt.nz/traffic-resolutions-february-2023,"duplicate-id, region",Violation,
https://www.letstalk.wellington.govt.nz/traffic-resolutions-february-2023,color-contrast,Needs Review,
https://www.letstalk.wellington.govt.nz/fale-malae-proposal,"duplicate-id, heading-order, region",Violation,
https://www.letstalk.wellington.govt.nz/fale-malae-proposal,color-contrast,Needs Review,
https://www.letstalk.wellington.govt.nz/inner-city-play,"duplicate-id, heading-order, link-name, region",Violation,
https://www.letstalk.wellington.govt.nz/inner-city-play,color-contrast,Needs Review,
https://www.letstalk.wellington.govt.nz/zero-waste-future,"duplicate-id, heading-order, region",Violation,
https://www.letstalk.wellington.govt.nz/zero-waste-future,color-contrast,Needs Review,
https://www.letstalk.wellington.govt.nz/annual-plan-2023-24,"duplicate-id, empty-heading, heading-order, region",Violation,
https://www.letstalk.wellington.govt.nz/annual-plan-2023-24,"aria-required-children, color-contrast",Needs Review,
https://www.letstalk.wellington.govt.nz/phase-1-outcomes-and-priorities,"duplicate-id, heading-order, region",Violation,
https://www.letstalk.wellington.govt.nz/phase-1-outcomes-and-priorities,color-contrast,Needs Review,
https://www.letstalk.wellington.govt.nz/about-the-long-term-plan-2024-34,"duplicate-id, frame-title, heading-order, region",Violation,
https://www.letstalk.wellington.govt.nz/about-the-long-term-plan-2024-34,"color-contrast, frame-tested",Needs Review,
https://www.letstalk.wellington.govt.nz/traffic-resolutions-april-2023-traffic-and-parking-restrictions,"duplicate-id, region",Violation,
https://www.letstalk.wellington.govt.nz/traffic-resolutions-april-2023-traffic-and-parking-restrictions,color-contrast,Needs Review,
https://www.letstalk.wellington.govt.nz/kilbirnie-park-masterplan,"duplicate-id, heading-order, region",Violation,
https://www.letstalk.wellington.govt.nz/kilbirnie-park-masterplan,color-contrast,Needs Review,
https://www.letstalk.wellington.govt.nz/te-whai-oranga-poneke-open-space-and-recreation-strategy,"duplicate-id, heading-order, region",Violation,
https://www.letstalk.wellington.govt.nz/te-whai-oranga-poneke-open-space-and-recreation-strategy,color-contrast,Needs Review,
https://www.letstalk.wellington.govt.nz/bowling-club-newtown,"duplicate-id, heading-order, region",Violation,
https://www.letstalk.wellington.govt.nz/bowling-club-newtown,color-contrast,Needs Review,
https://www.letstalk.wellington.govt.nz/cats-in-wellington-survey,"duplicate-id, heading-order, region",Violation,
https://www.letstalk.wellington.govt.nz/cats-in-wellington-survey,color-contrast,Needs Review,
https://www.letstalk.wellington.govt.nz/elizabeth-street-upgrades,"duplicate-id, empty-heading, heading-order, region",Violation,
https://www.letstalk.wellington.govt.nz/elizabeth-street-upgrades,color-contrast,Needs Review,
https://www.letstalk.wellington.govt.nz/traffic-resolutions-june-2023-traffic-and-parking-restrictions,"duplicate-id, empty-heading, link-name, region",Violation,
https://www.letstalk.wellington.govt.nz/traffic-resolutions-june-2023-traffic-and-parking-restrictions,color-contrast,Needs Review,
https://www.letstalk.wellington.govt.nz/subscribe-ltp-2024-34,"duplicate-id, region",Violation,
https://www.letstalk.wellington.govt.nz/subscribe-ltp-2024-34,color-contrast,Needs Review,
https://www.letstalk.wellington.govt.nz/miramar-minor-safety-works,"duplicate-id, empty-heading, region",Violation,
https://www.letstalk.wellington.govt.nz/miramar-minor-safety-works,color-contrast,Needs Review,
https://www.letstalk.wellington.govt.nz/frederick-street-park,"duplicate-id, heading-order, region",Violation,
https://www.letstalk.wellington.govt.nz/frederick-street-park,color-contrast,Needs Review,
https://www.letstalk.wellington.govt.nz/traffic-resolutions-july-2023-traffic-and-parking-restrictions,"duplicate-id, empty-heading, link-name, region",Violation,
https://www.letstalk.wellington.govt.nz/traffic-resolutions-july-2023-traffic-and-parking-restrictions,color-contrast,Needs Review,
https://www.letstalk.wellington.govt.nz/frederick-street-park-updates,"duplicate-id, region",Violation,
https://www.letstalk.wellington.govt.nz/frederick-street-park-updates,color-contrast,Needs Review,
https://www.letstalk.wellington.govt.nz/phase-2-levels-of-service-citizen-assembly,"duplicate-id, empty-heading, region",Violation,
https://www.letstalk.wellington.govt.nz/phase-2-levels-of-service-citizen-assembly,"color-contrast, frame-tested",Needs Review,
https://www.letstalk.wellington.govt.nz/traffic-resolutions-september-2023-traffic-and-parking-restrictions,"duplicate-id, link-name, region",Violation,
https://www.letstalk.wellington.govt.nz/traffic-resolutions-september-2023-traffic-and-parking-restrictions,color-contrast,Needs Review,
https://www.letstalk.wellington.govt.nz/traffic-resolutions-september-2023-version-two-traffic-and-parking-restrictions,"duplicate-id, empty-heading, region",Violation,
https://www.letstalk.wellington.govt.nz/traffic-resolutions-september-2023-version-two-traffic-and-parking-restrictions,color-contrast,Needs Review,
https://www.letstalk.wellington.govt.nz/traffic-resolutions-september-2023-ver-3-traffic-and-parking-restrictions,"duplicate-id, region",Violation,
https://www.letstalk.wellington.govt.nz/traffic-resolutions-september-2023-ver-3-traffic-and-parking-restrictions,color-contrast,Needs Review,
https://www.letstalk.wellington.govt.nz/traffic-resolutions-november-2023,"duplicate-id, empty-heading, link-name, region",Violation,
https://www.letstalk.wellington.govt.nz/traffic-resolutions-november-2023,color-contrast,Needs Review,
https://www.letstalk.wellington.govt.nz/commemorative-policy,"duplicate-id, empty-heading, region",Violation,
https://www.letstalk.wellington.govt.nz/commemorative-policy,color-contrast,Needs Review,
https://www.letstalk.wellington.govt.nz/freedom-camping-rules,"duplicate-id, region",Violation,
https://www.letstalk.wellington.govt.nz/freedom-camping-rules,color-contrast,Needs Review,
https://www.letstalk.wellington.govt.nz/willowbank-reserve-play,"duplicate-id, heading-order, region",Violation,
https://www.letstalk.wellington.govt.nz/willowbank-reserve-play,color-contrast,Needs Review,
https://www.letstalk.wellington.govt.nz/letstalk-newsletter,"duplicate-id, heading-order, region",Violation,
https://www.letstalk.wellington.govt.nz/letstalk-newsletter,"aria-valid-attr-value, color-contrast",Needs Review,
https://www.letstalk.wellington.govt.nz/rating-policies-review,"duplicate-id, link-name, region",Violation,
https://www.letstalk.wellington.govt.nz/rating-policies-review,"aria-valid-attr-value, color-contrast, form-field-multiple-labels",Needs Review,
https://www.letstalk.wellington.govt.nz/riddiford-russell-roundabout,"duplicate-id, region",Violation,
https://www.letstalk.wellington.govt.nz/riddiford-russell-roundabout,color-contrast,Needs Review,
https://www.letstalk.wellington.govt.nz/traffic-resolutions-december-2023,"duplicate-id, link-name, region",Violation,
https://www.letstalk.wellington.govt.nz/traffic-resolutions-december-2023,color-contrast,Needs Review,
